url,title
http://books.toscrape.com/catalogue/the-requiem-red_995/index.html,The Requiem Red
http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,Sapiens: A Brief History of Humankind
http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,The Dirty Little Secrets of Getting Your Dream Job
http://books.toscrape.com/catalogue/soumission_998/index.html,Soumission
http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,Tipping the Velvet
http://books.toscrape.com/catalogue/sharp-objects_997/index.html,Sharp Objects
http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull"
http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,A Light in the Attic
http://books.toscrape.com/catalogue/the-black-maria_991/index.html,The Black Maria
http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,Rip it Up and Start Again
http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics
http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,"Starving Hearts (Triangular Trade Trilogy, #1)"
http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991"
http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,Shakespeare's Sonnets
http://books.toscrape.com/catalogue/set-me-free_988/index.html,Set Me Free
http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)
http://books.toscrape.com/catalogue/olio_984/index.html,Olio
http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,Mesaerion: The Best Science Fiction Stories 1800-1849
http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,Libertarianism for Beginners
http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,It's Only the Himalayas
http://books.toscrape.com/catalogue/how-music-works_979/index.html,How Music Works
http://books.toscrape.com/catalogue/in-her-wake_980/index.html,In Her Wake
http://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,Chase Me (Paris Nights #2)
